team1,team2,team1_player1,team1_player2,team1_player3,team1_player4,team1_player5,team1_player6,team1_player7,team1_player8,team1_player9,team1_player10,team1_player11,team2_player1,team2_player2,team2_player3,team2_player4,team2_player5,team2_player6,team2_player7,team2_player8,team2_player9,team2_player10,team2_player11,venue,toss_winner,toss_decision,winner
KK,PZ,Babar Azam,Kumar Sangakkara,Chris Gayle,Shoaib Malik,Ravi Bopara,Kieron Pollard,Imad Wasim,Sohail Khan,Mohammad Amir,Usama Mir,Usman Khan,Tamim Iqbal,Kamran Akmal,Iftikhar Ahmed,Eoin Morgan,Shakib Al Hasan,Sohaib Maqsood,Darren Sammy,Shahid Afridi,Wahab Riaz,Hasan Ali,Imran Khan,Sharjah,PZ,field,KK
IU,LQ,Dwayne Smith,Rafatullah Mohmand,Brad Haddin,Ben Duckett,Misbah-ul-Haq,Shane Watson,Shadab Khan,Amad Butt,Mohammad Sami,Mohammad Irfan,Rumman Raees,Cameron Delport,Brendon McCullum,Fakhar Zaman,Umar Akmal,Mohammad Rizwan,Mohammad Irfan,Grant Elliott,Sunil Narine,Sohail Tanvir,Aamer Yamin,Yasir Shah,Sharjah,LQ,field,LQ
KK,QG,Babar Azam,Kumar Sangakkara,Chris Gayle,Shoaib Malik,Kieron Pollard,Ravi Bopara,Imad Wasim,Sohail Khan,Mohammad Amir,Usama Mir,Usman Khan,Asad Shafiq,Ahmed Shehzad,Kevin Pietersen,Rilee Rossouw,Sarfraz Ahmed,Mahmudullah,Anwar Ali,Mohammad Nawaz,Hasan Khan,Mir Hamza,Tymal Mills,Dubai,QG,field,QG
LQ,PZ,Cameron Delport,Brendon McCullum,Fakhar Zaman,Umar Akmal,Mohammad Rizwan,Grant Elliott,Sunil Narine,Aamer Yamin,Sohail Tanvir,Yasir Shah,Ghulam Mudassar,Tamim Iqbal,Kamran Akmal,Mohammad Hafeez,Marlon Samuels,Shakib Al Hasan,Shahid Afridi,Darren Sammy,Wahab Riaz,Sohaib Maqsood,Hasan Ali,Mohammad Asghar,Dubai,PZ,bat,PZ
IU,QG,Dwayne Smith,Rafatullah Mohmand,Hussain Talat,Misbah-ul-Haq,Brad Haddin,Shane Watson,Shadab Khan,Mohammad Sami,Mohammad Irfan,Rumman Raees,Samuel Badree,Asad Shafiq,Ahmed Shehzad,Kevin Pietersen,Rilee Rossouw,Sarfraz Ahmed,Anwar Ali,Thisara Perera,Mohammad Nawaz,Hasan Khan,Mahmudullah,Zulfiqar Babar,Dubai,QG,field,IU
KK,LQ,Babar Azam,Mahela Jayawardene,Kumar Sangakkara,Shoaib Malik,Ravi Bopara,Imad Wasim,Kieron Pollard,Sohail Khan,Mohammad Amir,Usama Mir,Usman Khan,Cameron Delport,Brendon McCullum,Fakhar Zaman,Umar Akmal,Sunil Narine,Grant Elliott,Mohammad Rizwan,Sohail Tanvir,Aamer Yamin,Yasir Shah,Mohammad Irfan,Dubai,KK,field,KK
PZ,QG,Tamim Iqbal,Kamran Akmal,Marlon Samuels,Mohammad Hafeez,Shakib Al Hasan,Sohaib Maqsood,Darren Sammy,Shahid Afridi,Wahab Riaz,Hasan Ali,Mohammad Asghar,Asad Shafiq,Ahmed Shehzad,Kevin Pietersen,Rilee Rossouw,Mohammad Nawaz,Sarfraz Ahmed,Mahmudullah,Hasan Khan,Zulfiqar Babar,Umar Gul,Tymal Mills,Dubai,PZ,field,PZ
IU,KK,Dwayne Smith,Ben Duckett,Hussain Talat,Shane Watson,Brad Haddin,Shadab Khan,Misbah-ul-Haq,Mohammad Sami,Mohammad Irfan,Rumman Raees,Saeed Ajmal,Babar Azam,Chris Gayle,Kumar Sangakkara,Shoaib Malik,Kieron Pollard,Ravi Bopara,Imad Wasim,Sohail Khan,Mohammad Amir,Usama Mir,Usman Khan,Dubai,KK,field,KK
PZ,QG,Kamran Akmal,Dawid Malan,Marlon Samuels,Mohammad Hafeez,Shahid Afridi,Haris Sohail,Darren Sammy,Chris Jordan,Wahab Riaz,Hasan Ali,Mohammad Asghar,Ahmed Shehzad,Luke Wright,Kevin Pietersen,Rilee Rossouw,Sarfraz Ahmed,Anwar Ali,Saad Nasim,Mohammad Nawaz,Hasan Khan,Zulfiqar Babar,Tymal Mills,Sharjah,PZ,field,QG
IU,KK,Dwayne Smith,Asif Ali,Brad Haddin,Misbah-ul-Haq,Shane Watson,Shadab Khan,Nicholas Pooran,Amad Butt,Mohammad Sami,Rumman Raees,Mohammad Irfan,Babar Azam,Chris Gayle,Kumar Sangakkara,Shoaib Malik,Ravi Bopara,Kieron Pollard,Imad Wasim,Sohail Khan,Mohammad Amir,Usama Mir,Usman Khan,Sharjah,IU,field,KK
